Registro_ANS;CNPJ;Razao_Social;Nome_Fantasia;Modalidade;Logradouro;Numero;Complemento;Bairro;Cidade;UF;CEP;DDD;Telefone;Fax;Endereco_eletronico;Representante;Cargo_Representante;Regiao_de_Comercializacao;Data_Registro_ANS
"423238";"45505515000181";"ODONTOPLAN PLANOS ODONTOLOGICOS LTDA";;"Odontologia de Grupo";"RUA BOM SUCESSO ";"734.0";"CONJ 10";"CIDADE MAE DO CEU ";"SÃ£o Paulo";"SP";"03305000";"11";"981383504";;"toninho@asssegurosesaude.com.br";"RICARDO ROSSI PEDROZA";"PROPRIETARIO ";4;"2022-06-08"
"301949";"58119199000151";"ODONTOPREV S/A";"ODONTOPREV";"Odontologia de Grupo";"ALAMEDA ARAGUAIA ";"2104";"ANDAR 21 CONJ 211 AO 214";"ALPHAVILLE INDUSTRIAL";"Barueri";"SP";"06455000";"11";"21686870";"21812211";"rcury@odontoprev.com.br";"ROBERTO SEME CURY";"REPRESENTANTE LEGAL";1;"1998-12-18"
"412040";"00361946000183";"ODONTOREAL LTDA.";"ODONTOREALE";"Odontologia de Grupo";"AV. GOV. CARLOS DE LIMA CAVALCANTI";"229";;"DERBY";"Recife";"PE";"50070110";"81";"30718299";;"odontoreale@gmail.com";"ALEXANDRE JOSÃ‰ FERRAZ";"SÃ“CIO GERENTE";6;"2000-08-29"
"416738";"08708980000193";"OESTE SAÃšDE ASSISTÃŠNCIA A SAÃšDE SUPLEMENTAR S.A";"OESTE SAÃšDE";"Medicina de Grupo";"AVENIDA ONZE DE MAIO";"1521";;"VILA LIBERDADE";"Presidente Prudente";"SP";"19050050";"18";"39185105";;"oestesaude@oestesaude.com.br";"MARCELO DE TOLEDO CERQUEIRA";"DIRETOR PRESIDENTE";6;"2008-10-03"
"422185";"36414737000106";"OLIVA ADMINISTRADORA DE BENEFICIOS LTDA";;"Administradora de BenefÃ­cios";"AVENIDA NOSSA SENHORA DE COPACABANA";"817";"SALA 601";"COPACABANA";"Rio de Janeiro";"RJ";"22050002";;;;"andre.reis@olivabeneficios.com.br";"ANDRÃ‰ LUIZ REIS FERREIRA";"REPRESENTANTE LEGAL";6;"2020-03-16"
"424030";"52917897000116";"OMEGA ODONTO OPERADORA DE PLANOS ODONTOLOGICOS LTDA.";;"Odontologia de Grupo";"RUA BARAO DE JAGUARA";"1214";"ANDAR 2 SALA 01";"CENTRO";"Campinas";"SP";"13015002";"19";"984195150";;"operadoraomegaodonto@gmail.com";"ELENY LÃšCIO CASTILHO";"SOCIO ADMINISTRADOR";;"2024-04-29"
"359661";"44673382000190";"OMINT SERVIÃ‡OS DE SAÃšDE S.A.";"OMINT";"Medicina de Grupo";"RUA FRANZ SCHUBERT";"33";;"JD PAULISTANO";"SÃ£o Paulo";"SP";"01454020";"11";"21324000";"38134949";"relacionamento-ans@omint.com.br";"ANDRE DO AMARAL COUTINHO";"DIRETOR GERAL";4;"1998-12-16"
"304212";"92240605000178";"ON MED ASSISTÃŠNCIA MÃ‰DICA LTDA";"ON MED";"Medicina de Grupo";"AV CEL FREDERICO LINK ";"714";"SALA 302";"IDEAL";"Novo Hamburgo";"RS";"93336002";;;;"diretoria@onmedsaude.com.br";"TAMIRES BRANDAO OLIVEIRA PENIDO";"DIRETORA ADMNISTRATIVO";5;"1999-01-25"
"422673";"37303850000179";"OPERADORA DE PLANOS ODONTOLOGICOS ULTRAODONTO LTDA";"ULTRAODONTO";"Odontologia de Grupo";"RUA CARLOS DIAS DA SILVA";"37-A";;"ITINGA";"Lauro de Freitas";"BA";"42738560";"71";"30514003";;"meireantunes@ultraodonto.com.br";"JONE LIMA MOREIRA";"SOCIO ADMINISTRADOR";3;"2021-02-09"
"420743";"25186649000170";"OPERADORA DE PLANOS ODONTOLÃ“GICOS ODONTOCLÃNICA LTDA";"ODONTOCLÃNICA PLANOS ODONTOLÃ“GICOS";"Odontologia de Grupo";"RUA 24 DE NOVEMBRO";"182";;"CENTRO - SERRA CAIADA";"Serra Caiada";"RN";"59245000";"84";"988148097";;"AGASILVA2@HOTMAIL.COM";"AGAMENON SEVERIANO DA SILVA";"SÃ“CIO ADMINISTRADOR";5;"2016-12-28"
"419699";"20918393000124";"OPERADORA DE PLANOS PRIVADOS DE SAÃšDE - SANTA CASA SAÃšDE LTDA";"SANTA CASA SAÃšDE";"Medicina de Grupo";"AVENIDA FERNANDO CORREA DA COSTA";"920";;"VILA GLORIA";"Campo Grande";"MS";"79004310";;;;"gerenciaadm@santacasasaudecg.com.br";"BEATRIZ LEMES DA SILVA";"ADMINISTRADOR";6;"2015-03-05"
"318477";"02888465000156";"OPERADORA UNICENTRAL DE PLANOS DE SAÃšDE LTDA.";"TOTAL MEDCARE";"Medicina de Grupo";"RUA ROCHA POMBO";"54";;"ACLIMAÃ‡ÃƒO";"SÃ£o Paulo";"SP";"01525010";;;;"operadora.unicentral@totalmedcare.com.br";"RAFAEL FRANCISCO DE ALMEIDA";"DIRETOR GERENTE GERAL";4;"1998-12-21"
"354511";"02774736000142";"OPERADORA UNIESTE DE PLANOS DE SAÃšDE LTDA";"SILVESTRE SAÃšDE";"Medicina de Grupo";"RUA  DEZENOVE DE FEVEREIRO ";"140";"3Âº ANDAR ";"BOTAFOGO";"Rio de Janeiro";"RJ";"22280030";"21";"30318001";;"diretoria@silvestresaude.com.br";"NILSON FONTANA";"DIRETOR ADMINISTRATIVO";4;"1998-12-21"
"418226";"13816250000146";"OPLAN SAÃšDE OPERADORA DE PLANO DE SAÃšDE LTDA";"OPLAN SAÃšDE";"Medicina de Grupo";"RUA ARY PARREIRAS";"201";;"CENTRO ";"ItaguaÃ­";"RJ";"23816541";"21";"23919645";;"debora.oliveira@oplan.com.br";"VALESCA DALLIER GUALTER DE ALVARENGA ";"REPRESENTANTE";6;"2011-09-13"
"418200";"83335596000108";"ORAL BLUE LTDA";"ORAL BLUE";"Odontologia de Grupo";"RUA EUCLIDES DA CUNHA";"21";;"CASTANHEIRA";"BelÃ©m";"PA";"66645130";;;;"ANS@ORALBLUE.COM.BR";"SANDOVAL RIBEIRO RODRIGUES";"SÃ“CIO-PROPRIETÃRIO";5;"2011-09-13"
"418447";"04942097000102";"ORAL GAM ASSISTENCIA ODONTOLÃ“GICA LTDA";"ORAL GAM ASSISTENCIA ODONTOLÃ“GICA LTDA";"Odontologia de Grupo";"AVENIDA ESTADOS UNIDOS";"311";;"PARQUE DAS NAÃ§OES";"Santo AndrÃ©";"SP";"09210300";"11";"49974869";;"oralgam@terra.com.br";"GIL CARLOS FERNANDES";"DIRETOR TÃ‰CNICO ";6;"2012-03-14"
"366510";"01972369000129";"ORAL SAÃšDE DE IBITINGA SERVIÃ‡OS ODONTOLÃ“GICOS S/S LTDA";"ORAL SAÃšDE DE IBITINGA SERV. ODONTOL. S/S LTDA";"Odontologia de Grupo";"AVENIDA DOM PEDRO II";"1095";;"CENTRO";"Ibitinga";"SP";"14940000";"16";"33427336";"33427336";"oralsaudeibitinga@uol.com.br";"RENATO LUIZ MARTINS";"DIRETOR";6;"1999-01-27"
"412996";"03990914000135";"ORALE ASSISTÃŠNCIA ODONTOLÃ“GICA LTDA";"ORALE";"Odontologia de Grupo";"AVENIDA ANITA GARIBALDI";"1133";"SALA 1204";"ONDINA";"Salvador";"BA";"40170136";;;;"adm@orale.com.br";"MARCOS BARRETO REGIS";"ADMINISTRADOR";5;"2001-01-16"
"420972";"26766016000101";"ORALPLAN PLANOS DE SAUDE ODONTOLÃ“GICOS LTDA";"ORALPLAN";"Odontologia de Grupo";"AVENIDA CARAVELAS";"03";"SALA 28 - ED. GALERIA DIVAMAR";"PRAIA DO FRANCES";"Marechal Deodoro";"AL";"57160000";;;;"diretoria@oralplan.vc";"FABIO SANTOS DE ALMEIDA";"REPRESENTANTE";5;"2017-07-21"
"404772";"01628329000164";"ORION ODONTOLOGIA LTDA";;"Odontologia de Grupo";"AVENIDA PAULISTA";"1765";"7Âº ANDAR, CONJ. 72 - CV 8262";"BELA VISTA";"SÃ£o Paulo";"SP";"01311200";"11";"44782800";"44782800";"orion@orionodonto.com.br";"PAULO CARDONA LICCA";"SÃ³cio Administrador";4;"1999-06-08"
"416371";"07479804000164";"ORION PLANOS E SERVIÃ‡OS ODONTOLÃ“GICOS LTDA";"ODONTOMIX";"Odontologia de Grupo";"Rua Visconde de InhaÃºma";"468";"SalÃ£o Comercial ";"Centro";"RibeirÃ£o Preto";"SP";"14010902";;;;"andrei@odontomix.com.br";"ANDREI SANT' ANA MARQUES DE OLIVEIRA";"SÃ“CIO-ADMINISTRADOR";4;"2007-09-18"
"419991";"18496204000120";"OROS OPERADORA DE PLANOS ODONTOLÃ“GICOS LTDA ME";"OROS OPERADORA DE PLANOS ODONTOLÃ“GICOS";"Odontologia de Grupo";"AVENIDA JOSÃ‰ RUSCHI";"246";;"CENTRO";"Santa Teresa";"ES";"29650000";"27";"32591077";;"MARCELOSALVIATO@HOTMAIL.COM";"MARCELO NASCIMENTO SALVIATO";"SÃ“CIO ADMINISTRADOR";5;"2015-12-09"
"423483";"43873924000105";"P4H GESTAO DE BENEFICIOS LTDA";"PEOPLE 4 HEALTH BENEFICIOS";"Administradora de BenefÃ­cios";"Rua Dom Jaime CÃ¢mara";"170";"Salas 101 e 102";"Centro";"FlorianÃ³polis";"SC";"88015120";;;;"ricieri@p4hsaude.com";"RICIERI DO ROSARIO RAMOS";"SÃ³cio Administrador";;"2023-02-13"
"315265";"82353079000107";"PARANA ASSISTENCIA MEDICA LTDA";"PAM";"Medicina de Grupo";"AVENIDA CARLOS CORREA BORGES";"1130";"SALA 03, TÃ‰RREO E 1 ANDAR";"JARDIM GUAPORÃ‰";"MaringÃ¡";"PR";"87060215";"44";"32181530";"32181532";"juridico@drpam.com.br";"ALEXANDRE DA SILVA LIMA";"DIRETOR FINANCEIRO";5;"1998-12-22"
"350141";"76717040000110";"PARANÃ CLÃNICAS - PLANOS DE SAÃšDE S/A";"PARANÃ CLÃNICAS";"Medicina de Grupo";"AVENIDA GETÃšLIO VARGAS";"3201";;"ÃGUA VERDE";"Curitiba";"PR";"80240041";"41";"33403023";"33403042";"info@paranaclinicas.com.br";"RAQUEL REIS CORREA";"DIRETORA PRESIDENTE";5;"1998-12-16"
"415782";"07075561000107";"PARRA ODONTOLOGIA LTDA";"PARRA ODONTOLOGIA - ATUAL CONVENIO";"Odontologia de Grupo";"RUA MARECHAL RONDON";"150";;"JARDIM SUMARÃ‰";"RibeirÃ£o Preto";"SP";"14025430";"16";"39416768";"39416768";"atual@atualodontologia.com.br";"NEWTON BARBOSA PARRA";"DIRETOR";6;"2006-10-25"
"331988";"39419809000198";"PASA - PLANO DE ASSISTENCIA A SAUDE DO APOSENTADO DA VALE";"PASA";"AutogestÃ£o";"AV. PRESIDENTE VARGAS";"3131";"6Âº ANDAR, SALAS 605 e 606";"CIDADE NOVA";"Rio de Janeiro";"RJ";"20210030";"21";"21395702";"22405625";"juridico@planopasa.com.br";"BRUNO CAMARA MEIRA";"DIR. ADMINISTRAÃ‡AO E FINANÃ‡AS";4;"1998-12-22"
"420778";"14938785000152";"PASSPORT SYSTEM ODONTOLOGIA LTDA";"PASSPORT SYSTEM";"Odontologia de Grupo";"Avenida Rio Branco ";"2672";"Sala A";"Setor 05";"Jaru";"RO";"76890000";"69";"35211342";;"nhyll_odonto@hotmail.com";"NILCELIA ANA MARIN";"Administrador";3;"2017-01-18"
"422584";"38272479000198";"PB ASSISTENCIA MEDICA EU LTDA";"PLANO BRASIL SAUDE";"Medicina de Grupo";"RUA GARIBALDI";"S/N";"LOTE 2A LOJA 007";"ALPHAVILLE ABRANTES";"CamaÃ§ari";"BA";"42821872";"71";"84312648";;"michelle.pacheco@planobrasilsaude.com.br";"PAULO BRITO BITTENCOURT";"CEO";;"2021-01-13"
"422355";"36186642000174";"PD BRASIL ASSISTENCIA ODONTOLOGICA LTDA";"PRODENTAL BRASIL ASSISTENCIA ODONTOLOGICA";"Odontologia de Grupo";"RUA DR JOSE PEROBA";"349";"SALAS 1105 E 1106, ED.EMPRESARIAL C. AZU";"STIEP ";"Salvador";"BA";"41770235";"71";"33884482";;"victor@prodentalbrasil.com.br";"VICTOR SILVEIRA GUSMÃƒO";"DIRETOR EXECUTIVO";6;"2020-08-04"
"421774";"30495227000116";"PENTÃGONO ADMINISTRADORA DE BENEFÃCIOS S/A";"PENTÃGONO ADMINISTRADORA";"Administradora de BenefÃ­cios";"RUA DOUTOR PEDROSA";"183";"CASA, CONDOMÃNIO PEDROSA DR CJ";"CENTRO";"Curitiba";"PR";"80420120";"41";"32771313";;"pedro@sallusadministradora.com.br";"PEDRO PEREIRA";"REPRESENTANTE";;"2019-06-19"
"421707";"31097886000167";"PERSONAL CARE OPERADORA DE SAÃšDE SA";"NORDEN PLANO DE SAÃšDE";"Medicina de Grupo";"RUA CONDE DO PINHAL";"739";"-";"CENTRO";"IbatÃ©";"SP";"14815000";"16";"33632200";;"contato@meunorden.com";"ANTONIO MONTEIRO PINOTTI AFFONSO";"SÃ“CIO ADMINISTRADOR";5;"2019-07-16"
"310239";"17146846000137";"PESSOAL SAÃšDE PLANOS DE ASSISTÃŠNCIA MÃ‰DICA LTDA";"PESSOAL SAÃšDE";"Medicina de Grupo";"RUA JOSÃ‰ VERSOLATO";"101";"Bloco A - SL 42";"CENTRO";"SÃ£o Bernardo do Campo";"SP";"09750730";;;;"elisangela@pessoalsaude.com.br";"JOÃƒO VANDIR VALIM JUNIOR";"SÃ“CIO";5;"1998-12-31"
"419486";"17897995000138";"PLADISA PLANOS DE SAÃšDE SA";"PLADISA";"Medicina de Grupo";"RUA CORONEL FAGUNDES";"100";"SALA 02 - EDIFÃCIO DR. ARY DALASEN";"CENTRO";"Videira";"SC";"89560156";"49";"35660811";;"pladisa@pladisa.com.br";"JOACIR FERREIRA";"DIRETOR ADMNISTRATIVO";4;"2014-09-02"
"343463";"15594468000129";"PLAMED PLANO DE ASSISTENCIA MEDICA LTDA";"PLAMED PLANO DE ASSISTENCIA MEDICA LTDA";"Medicina de Grupo";"RUA PROFESSOR OSMAN SANTOS OLIVEIRA ";"106";;"CENTRO ";"Nossa Senhora das Dores";"SE";"49600000";"79";"40093100";"40093121";"plamed@plamed.com.br";"MAÃSA CRUZ MITIDIERI";"REPRESENTANTE LEGAL";5;"1998-12-30"
"413551";"04299994000140";"PLAMEDH - PLANO DE ASSISTÃŠNCIA MÃ‰DICO-HOSPITALAR LTDA";"PLAMEDH";"Medicina de Grupo";"RUA QUINTINO BOCAIUVA";"232";;"CENTRO";"SÃ£o JoÃ£o del Rei";"MG";"36307302";"32";"33715795";;"gerencia@plamedh.com.br";"JOÃƒO DE FIGUEIREDO PEREIRA CURADO";"ADMINISTRADOR";6;"2001-04-19"
"423882";"52041306000190";"PLAMEDH PLANOS DE SAÃšDE LTDA";"PLAMEDH PLANOS  ";"Medicina de Grupo";"Rua InconfindÃªncia";"488";"Sala 201A";"Centro";"Betim";"MG";"32600100";"31";"982611106";;"joao.figueiredo@plamedh.com.br";"JOÃƒO DE FIGUEIREDO PEREIRA CURADO";"Diretor";;"2024-02-19"
"324299";"68682715000105";"PLAMER PLANO MEDICO RESENDE LTDA";"PLAMER - PLANO MEDICO RESENDE";"Medicina de Grupo";"Rua Luiz Ferreira Pinto";"42";;"Campo do Manejo";"Resende";"RJ";"27520330";"24";"33839200";"33839211";"ouvidoria@plamer.com.br";"ELIZANDRO GUERRA DOS SANTOS";"Direto Administrativo - Financeiro";5;"1998-12-17"
"424200";"56197223000145";"PLANO A ADMINISTRADORA DE PLANOS DE SAUDE LTDA";;"Administradora de BenefÃ­cios";"AVENIDA JOSE WILKER ATOR";"605";"SALA 237";"BARRA DA TIJUCA";"Rio de Janeiro";"RJ";"22775024";"21";"999434833";;"leonardo@unimedicasaude.com";"LIDIANE COSTA PINTO DA SILVA";"SOCIO ADMINISTRADOR";;"2024-11-25"
"363391";"02513939000185";"PLANO ASSISTENCIAL SÃƒO LUCAS LTDA";"SÃƒO LUCAS SAÃšDE";"Medicina de Grupo";"RUA DOM PEDRO II";"780";"3Âº ANDAR - SALAS 301 A 304";"CENTRO";"Governador Valadares";"MG";"35010090";"33";"32797600";"32797600";"juniorsaolucassaude@veloxmail.com.br";"JOSE FERREIRA JUNIOR";"DIRETOR ADMINISTRATIVO";5;"1999-01-04"
"382281";"22027346000116";"PLANO DE ASSISTÃŠNCIA MÃ‰DICA MINEIRA LTDA";"PLAM";"Medicina de Grupo";"RUA ROOSEVELT DE OLIVEIRA";"251";;"APARECIDA";"UberlÃ¢ndia";"MG";"38400610";"34";"32318012";"32318012";"uniaocon@triang.com.br";"NEUBER MARTINS FONSECA";"DIRETOR ADMINISTRATIVO";6;"1999-01-04"
"417106";"10767219000174";"PLANO DE ASSISTÃŠNCIA ODONTOLÃ“GICA FAUCHARD LTDA. ME";"ODONTO S.A";"Odontologia de Grupo";"AVENIDA PROFESSOR MAGALHÃƒES NETO";"1550";"SALAS 1501 A 1504 - ED. PREMIER TOWER EM";"PITUBA";"Salvador";"BA";"41810012";"71";"32403176";;"diretoria@odontosa.com.br";"RODRIGO ALVES VASCONCELOS DE ALMEIDA";"SÃ“CIO ADMINISTRADOR";5;"2009-10-29"
"411582";"03638220000133";"PLANO DE SAUDE ASES LTDA.";"ASES";"Medicina de Grupo";"RUA CONSELHEIRO OTAVIANO";"130";;"CENTRO";"Campos dos Goytacazes";"RJ";"28010140";"22";"27262000";"27330866";"planoases@ases.com.br";"RENATO GOMES DE SOUZA VALE";"DIRETOR FINANCEIRO";5;"2000-06-27"
"360244";"02864364000145";"PLANO DE SAÃšDE ANA COSTA LTDA.";"PLANO DE SAÃšDE ANA COSTA LTDA.";"Medicina de Grupo";"AV ANA COSTA";"468";;"GONZAGA";"Santos";"SP";"11060002";"13";"32851200";"32851200";"anacostasaude@anacostasaude.com.br";"ALEXANDRE GINO CAMARGO ZORNIG";"REPRESENTANTE LEGAL";5;"1998-12-16"
"420166";"24645912000189";"PLANO DE SAÃšDE DA SANTA CASA DE BRAGANÃ‡A PAULISTA";"SANTA CASA SAÃšDE";"Medicina de Grupo";"RUA ALPHEU GRIMELLO";"464";"EDIFÃCIO SAN DOMENICO";"TABOÃƒO";"BraganÃ§a Paulista";"SP";"12916010";"11";"44818015";;"rosana.lima@scsbp.com.br";"JOÃƒO JOSÃ‰ MARQUES";"PRESIDENTE";5;"2016-07-06"
"411256";"03011072000122";"PLANO HOSPITAL SAMARITANO LTDA";"PHS SAMARITANO SAÃšDE";"Medicina de Grupo";"AV SAO JOSE DOS CAMPOS ";"256";"ANDAR PISO SUPERIOR ";"JARDIM NOVA EUROPA";"Campinas";"SP";"13040145";"19";"32322150";;"phs@samaritosaude.com.br";"RICARDO DE CAPRIO";"SÃ“CIO ADMINISTRADOR";5;"2000-05-12"
"415936";"05983170000157";"PLANO ODONTOLÃ“GICO DENTALVIDAS LTDA.";"DENTALVIDAS";"Odontologia de Grupo";"RUA MAGID ANTONIO CALIL";"176";;"JARDIM BOTÃ‚NICO";"RibeirÃ£o Preto";"SP";"14021644";"16";"81643959";;"atendimento@dentalvidas.com.br";" ICARO VILAR MOTA GUIMARÃƒES";"REPRESENTANTE";4;"2007-03-08"
"423408";"29117294000118";"PLANO SIGMA SAÃšDE LTDA";;"Medicina de Grupo";"RUA FLORIANO PEIXOTO";"1009";;"VILA MENDONÃ‡A";"AraÃ§atuba";"SP";"16015000";"18";"31176391";;"reginaldo.sigmasaude@gmail.com";"EVALDO DE ARAÃšJO SANCHEZ";"SÃ“CIO PROPRIETÃRIO";6;"2022-12-12"
"415987";"04430627000133";"PLANO VIDA SAUDE SERVIÃ‡OS ODONTOLOGICOS LTDA";"ORAL SANTA HELENA";"Odontologia de Grupo";"RUA CAMPOS";"130";;"SÃƒO JOSE";"Aracaju";"SE";"49015220";;;"32116668";"financeiro@oralsantahelena.com.br";"JOSAN PEREIRA TENORIO";"SÃ“CIO-ADMINISTRATIVO";6;"2007-04-13"
"416517";"02704297000100";"PLANODENTE LTDA.";;"Odontologia de Grupo";"RUA DOUTOR MILTON BANDEIRA";"140";"LOJA 202";"CENTRO";"ViÃ§osa";"MG";"36570000";"31";"38916362";"38916362";"PLANODENTE@HOTMAIL.COM";"MARIA HELENA PIRES SILVA";"ADMINISTRADORA";6;"2008-01-22"
"418986";"11792899000149";"PLATINUM ADMINISTRADORA DE BENEFICIOS";;"Administradora de BenefÃ­cios";"SRTVS QUADRA 701, CONJUNTO L, BLOCO 02";"38";"TÃ‰RREO II, SALA 112";"ASA SUL";"BrasÃ­lia";"DF";"70340906";;;;"gleciana@platinumbeneficios.com.br";"GLECIANA SILVA VIEIRA";"ADMINISTRADORA";4;"2013-08-01"
"420956";"27657711000190";"PLENA ADMINISTRADORA DE BENEFÃCIOS LTDA - ME";"PLENA ADMINISTRADORA DE BENEFÃCIOS";"Administradora de BenefÃ­cios";"RUA JOÃƒO PESSOA DE MATOS";"530";"COND. ED. PRE OFFICE TOWER";"PRAIA DA COSTA";"Vila Velha";"ES";"29101115";"27";"37631360";;"danilosassaroli@gmail.com";"DANILO HADDAD SASSAROLI";"Diretor Operacional";5;"2017-07-13"
"348830";"00338763000147";"PLENA SAÃšDE S.A.";"PLENA SAÃšDE";"Medicina de Grupo";"AV. RAIMUNDO PEREIRA DE MAGALHAES";"12575";"SALA 03";"PARADA DE TAIPAS";"SÃ£o Paulo";"SP";"02989095";"11";"39445439";;"regulatorio@plenasaude.com.br";"JOSE LUIZ RANIERI";"DIRETOR PRESIDENTE";4;"1998-12-30"
"403458";"01460885000174";"PLENODONTO ASSISTÃŠNCIA ODONTOLÃ“GICA LTDA.";"PLENODONTO";"Odontologia de Grupo";"AV. IPIRANGA";"337";"10Âº ANDAR - CJ.101";"REPÃšBLICA";"SÃ£o Paulo";"SP";"01046010";"11";"31207420";;"jbosco@plenodonto.com.br";"JOÃƒO BOSCO MUNIZ SIMON";"SOCIO GERENTE";4;"1999-04-14"
"423441";"47432143000136";"PLENUM ASSISTENCIA MEDICA  LTDA";"PLENUM SAUDE ";"Medicina de Grupo";"QS 1 RUA 210 TORRE 03 - LOTE 34/36";"S/N";"SALA 312";"AGUAS CLARAS ";"BrasÃ­lia";"DF";"71950770";;;;"DIRETORIA@PLENUMSAUDE.COM";"LUCIO ANTUNES ALVES ";"SOCIO - ADMINISTRADOR";;"2023-01-18"
"418552";"97553801000116";"PLURAL GESTÃƒO EM PLANOS DE SAÃšDE LTDA";"PLURAL ADMINISTRADORA DE BENEFICIOS";"Administradora de BenefÃ­cios";"AV. RIO BRANCO ";"131";" 5Âº ANDAR, SALAS 501 a 504";"CENTRO";"Rio de Janeiro";"RJ";"20040006";"21";"38616000";;"andre@pluralsaude.com.br";"ANDRÃ‰ LUIZ CORBACHO VIANNA";"DIRETOR PRESIDENTE";4;"2012-06-11"
"417751";"11275925000161";"PLURICLUB ADMINISTRADORA DE BENEFÃCIOS LTDA.";"PLURICLUB ADMINISTRADORA DE BENEFÃCIOS LTDA.";"Administradora de BenefÃ­cios";"SETE DE ABRIL ";"230";"BLOCO A CONJUNTO 102";"REPÃšBLICA";"SÃ£o Paulo";"SP";"01044000";"11";"32575258";"32575258";"CARECLUB@PLURICARE.COM.BR";"LUIZ GUILHERME GOMES PRIMOS";"ADMINISTRADOR";4;"2010-12-20"
"351270";"02896924000143";"POLI SAUDE OPERADORA DE PLANO DE SAUDE LTDA";"POLI SAUDE OPERADORA DE PLANO DE SAUDE LTDA";"Medicina de Grupo";"RUA PARANÃ";"700";;"CENTRO";"Pato Branco";"PR";"85501074";"46";"32242210";;"polisaude@polisaudepb.com.br";"JULIANE BLEICH";"REPRESENTANTE JUNTO Ã€ ANS";5;"1998-12-24"
"415693";"04202013000102";"POLICLIN SAÃšDE S/A.";;"Medicina de Grupo";"AV NOVE DE JULHO ";"355";;"JARDIM APOLO";"SÃ£o JosÃ© dos Campos";"SP";"12243000";"12";"37972833";"37972833";"contato.ans@policlinsaude.com.br";"CYRO ALVES DE BRITTO FILHO";"DIRETOR";5;"2006-08-02"
"316903";"93507895000136";"POLIMÃ‰DICA SAÃšDE SOCIEDADE SIMPLES LTDA";"POLIMÃ‰DICA SAÃšDE";"Medicina de Grupo";"RUA GENERAL NETO";"353";;"FLORESTA";"Porto Alegre";"RS";"90560020";"51";"32213428";"32213666";"polimedica@polimedica.com.br";"SANDRA RENATA MARCONATO WOLF";"ADMINISTRADORA";4;"1998-12-28"
"346870";"89890172000191";"PORTO ALEGRE CLÃNICAS LTDA.";"POA CLIN";"Medicina de Grupo";"Rua dos Andradas";"955";"3Âº andar, apto. 302 - salas 02, 06 e 07";"CENTRO HISTÃ“RICO ";"Porto Alegre";"RS";"90020005";"51";"30417855";"32873621";"portoalegreclinicas@portoalegreclinicas.com.br";"MARIA CRISTINA NUNES DAS CHAGAS";"SÃ“CIA ADMINISTRADORA";4;"1998-12-22"
"415081";"06145428000109";"PORTO DIAS SAUDE LTDA.";"PORTO DIAS SAUDE";"Medicina de Grupo";"TRAVESSA MAURITI";"3050";"SALA 1";"MARCO";"BelÃ©m";"PA";"66093020";;;"30843038";"adrianadias@hpd.com.br";"ANTONIO CARLOS CORREA DIAS";"REPRESENTANTE";6;"2005-02-03"
"000582";"04540010000170";"PORTO SEGURO - SEGURO SAÃšDE S/A";"PORTO SEGURO SAÃšDE";"Seguradora Especializada em SaÃºde";"Alameda BarÃ£o de Piracicaba";"740";"Torre B, 8Âº andar, Lado B";"CAMPOS ELISEOS";"SÃ£o Paulo";"SP";"01216012";"11";"33665199";"33668823";"diretoria@portoseguro.com.br";"LUIZ VICENTE GUARANHA LAPENTA";"DIRETOR DE PRECIFICAÃ‡ÃƒO";4;"2001-07-31"
"418625";"13991711000117";"PORTO SEGURO SERVIÃ‡OS ODONTOLÃ“GICOS LTDA.";"PORTO DENTAL";"Odontologia de Grupo";"RUA GUAIANASES";"1238";"MEZANINO - PARTE";"CAMPOS ELISEOS";"SÃ£o Paulo";"SP";"01204002";;;;"regulacao.saude@portoseguro.com.br";"LUIZ VICENTE GUARANHA LAPENTA";"DIRETOR DE PRECIFICAÃ‡ÃƒO";4;"2012-10-08"
"417491";"11565995000154";"PORTOMED - PORTO SEGURO SERVIÃ‡OS DE SAUDE LTDA";;"Medicina de Grupo";"RUA GUAIANASES";"1238";"MEZANINO/PARTE";"CAMPOS ELISEOS";"SÃ£o Paulo";"SP";"01204001";"11";"33661722";"33668823";"diretoria@portoseguro.com.br";"LUIZ VICENTE GUARANHA LAPENTA";"DIRETOR DE PRECIFICAÃ‡ÃƒO";4;"2010-08-13"
"420280";"25006061000197";"POSITIVA ADMINISTRADORA DE BENEFICIOS LTDA";"POSITIVA ADMINISTRADORA DE BENEFÃCIOS";"Administradora de BenefÃ­cios";"ALAMEDA CAMPINAS";"457";"8Âº andar - cj, D";"JARDIM PAULISTA";"SÃ£o Paulo";"SP";"01404100";"11";"41181040";;"paulo.sampaio@positiva.com.br";"PAULO HENRIQUE MOURÃƒO SAMPAIO";"ADMINISTRADOR";1;"2016-11-08"
"419133";"18275071000162";"POSTAL SAÃšDE CAIXA DE ASSISTÃŠNCIA E SAÃšDE DOS EMPREGADOS DOS CORREIOS";"POSTAL SAÃšDE";"AutogestÃ£o";"SHS";"QUADRA 2 ";"BLOCO B,  nÂº 2 - Ed. TELEX - 1Âº e 2Âº and";"ASA SUL";"BrasÃ­lia";"DF";"70312970";"61";"34256777";;"ans@postalsaude.com.br";"ELI PINTO DE MELO JÃšNIOR";"DIRETOR PRESIDENTE";1;"2013-09-25"
